sequence	position	depth
atg000001l_rc_rotated	94	29
atg000001l_rc_rotated	95	29
atg000001l_rc_rotated	96	29
atg000001l_rc_rotated	97	29
atg000001l_rc_rotated	98	29
atg000001l_rc_rotated	99	29
atg000001l_rc_rotated	100	29
atg000001l_rc_rotated	101	29
atg000001l_rc_rotated	102	29
atg000001l_rc_rotated	103	29
atg000001l_rc_rotated	104	29
atg000001l_rc_rotated	105	29
atg000001l_rc_rotated	106	29
atg000001l_rc_rotated	107	29
atg000001l_rc_rotated	108	29
atg000001l_rc_rotated	109	29
atg000001l_rc_rotated	110	29
atg000001l_rc_rotated	111	29
atg000001l_rc_rotated	112	29
atg000001l_rc_rotated	113	29
atg000001l_rc_rotated	114	29
atg000001l_rc_rotated	115	29
atg000001l_rc_rotated	116	29
atg000001l_rc_rotated	117	29
atg000001l_rc_rotated	118	29
atg000001l_rc_rotated	119	29
atg000001l_rc_rotated	120	29
atg000001l_rc_rotated	121	29
atg000001l_rc_rotated	122	29
atg000001l_rc_rotated	123	29
atg000001l_rc_rotated	124	29
atg000001l_rc_rotated	125	29
atg000001l_rc_rotated	126	29
atg000001l_rc_rotated	127	29
atg000001l_rc_rotated	128	29
atg000001l_rc_rotated	129	29
atg000001l_rc_rotated	130	29
atg000001l_rc_rotated	131	29
atg000001l_rc_rotated	132	29
atg000001l_rc_rotated	133	29
atg000001l_rc_rotated	134	29
atg000001l_rc_rotated	135	29
atg000001l_rc_rotated	136	29
atg000001l_rc_rotated	137	29
atg000001l_rc_rotated	138	29
atg000001l_rc_rotated	139	29
atg000001l_rc_rotated	140	29
atg000001l_rc_rotated	141	29
atg000001l_rc_rotated	142	29
atg000001l_rc_rotated	143	29
atg000001l_rc_rotated	144	29
atg000001l_rc_rotated	145	29
atg000001l_rc_rotated	146	29
atg000001l_rc_rotated	147	29
atg000001l_rc_rotated	148	29
atg000001l_rc_rotated	149	29
atg000001l_rc_rotated	150	29
atg000001l_rc_rotated	151	29
atg000001l_rc_rotated	152	29
atg000001l_rc_rotated	153	29
atg000001l_rc_rotated	154	29
atg000001l_rc_rotated	155	29
atg000001l_rc_rotated	156	30
atg000001l_rc_rotated	157	30
atg000001l_rc_rotated	158	30
atg000001l_rc_rotated	159	30
atg000001l_rc_rotated	160	30
atg000001l_rc_rotated	161	30
atg000001l_rc_rotated	162	30
atg000001l_rc_rotated	163	30
atg000001l_rc_rotated	164	30
atg000001l_rc_rotated	165	30
atg000001l_rc_rotated	166	30
atg000001l_rc_rotated	167	30
atg000001l_rc_rotated	168	30
atg000001l_rc_rotated	169	30
atg000001l_rc_rotated	170	30
atg000001l_rc_rotated	171	30
atg000001l_rc_rotated	172	30
atg000001l_rc_rotated	173	30
atg000001l_rc_rotated	174	30
atg000001l_rc_rotated	175	30
atg000001l_rc_rotated	176	30
atg000001l_rc_rotated	177	30
atg000001l_rc_rotated	178	30
atg000001l_rc_rotated	179	30
atg000001l_rc_rotated	180	30
atg000001l_rc_rotated	181	30
atg000001l_rc_rotated	182	30
atg000001l_rc_rotated	183	30
atg000001l_rc_rotated	184	30
atg000001l_rc_rotated	185	30
atg000001l_rc_rotated	186	30
atg000001l_rc_rotated	187	30
atg000001l_rc_rotated	188	30
atg000001l_rc_rotated	189	30
atg000001l_rc_rotated	190	30
atg000001l_rc_rotated	191	30
atg000001l_rc_rotated	192	30
atg000001l_rc_rotated	193	30
atg000001l_rc_rotated	194	30
atg000001l_rc_rotated	195	30
atg000001l_rc_rotated	196	30
atg000001l_rc_rotated	197	30
atg000001l_rc_rotated	198	30
atg000001l_rc_rotated	199	30
atg000001l_rc_rotated	200	30
atg000001l_rc_rotated	201	30
atg000001l_rc_rotated	202	30
atg000001l_rc_rotated	203	30
atg000001l_rc_rotated	204	30
atg000001l_rc_rotated	205	30
atg000001l_rc_rotated	206	30
atg000001l_rc_rotated	207	30
atg000001l_rc_rotated	208	30
atg000001l_rc_rotated	209	30
atg000001l_rc_rotated	210	30
atg000001l_rc_rotated	211	30
atg000001l_rc_rotated	212	30
atg000001l_rc_rotated	213	30
atg000001l_rc_rotated	214	30
atg000001l_rc_rotated	215	30
atg000001l_rc_rotated	216	30
atg000001l_rc_rotated	217	30
atg000001l_rc_rotated	218	30
atg000001l_rc_rotated	219	30
atg000001l_rc_rotated	220	30
atg000001l_rc_rotated	221	30
atg000001l_rc_rotated	222	30
atg000001l_rc_rotated	223	30
atg000001l_rc_rotated	224	30
atg000001l_rc_rotated	225	30
atg000001l_rc_rotated	226	30
atg000001l_rc_rotated	227	30
atg000001l_rc_rotated	228	30
atg000001l_rc_rotated	229	30
atg000001l_rc_rotated	230	30
atg000001l_rc_rotated	231	30
atg000001l_rc_rotated	232	30
atg000001l_rc_rotated	233	30
atg000001l_rc_rotated	234	30
atg000001l_rc_rotated	235	30
atg000001l_rc_rotated	236	30
atg000001l_rc_rotated	237	30
atg000001l_rc_rotated	238	30
atg000001l_rc_rotated	239	30
atg000001l_rc_rotated	240	30
atg000001l_rc_rotated	241	30
atg000001l_rc_rotated	242	30
atg000001l_rc_rotated	243	30
atg000001l_rc_rotated	244	30
atg000001l_rc_rotated	245	30
atg000001l_rc_rotated	246	30
atg000001l_rc_rotated	247	30
atg000001l_rc_rotated	248	30
atg000001l_rc_rotated	249	30
atg000001l_rc_rotated	250	30
atg000001l_rc_rotated	251	30
atg000001l_rc_rotated	252	30
atg000001l_rc_rotated	253	30
atg000001l_rc_rotated	254	30
atg000001l_rc_rotated	255	30
atg000001l_rc_rotated	256	30
atg000001l_rc_rotated	257	30
atg000001l_rc_rotated	258	30
atg000001l_rc_rotated	259	30
atg000001l_rc_rotated	260	30
atg000001l_rc_rotated	261	30
atg000001l_rc_rotated	262	30
atg000001l_rc_rotated	263	30
atg000001l_rc_rotated	264	30
atg000001l_rc_rotated	265	30
atg000001l_rc_rotated	266	30
atg000001l_rc_rotated	267	30
atg000001l_rc_rotated	268	30
atg000001l_rc_rotated	269	30
atg000001l_rc_rotated	270	30
atg000001l_rc_rotated	271	30
atg000001l_rc_rotated	272	30
atg000001l_rc_rotated	273	30
atg000001l_rc_rotated	274	30
atg000001l_rc_rotated	275	30
atg000001l_rc_rotated	276	30
atg000001l_rc_rotated	277	30
atg000001l_rc_rotated	278	30
atg000001l_rc_rotated	279	30
atg000001l_rc_rotated	280	30
atg000001l_rc_rotated	281	30
atg000001l_rc_rotated	282	30
atg000001l_rc_rotated	283	30
atg000001l_rc_rotated	284	30
atg000001l_rc_rotated	285	30
atg000001l_rc_rotated	286	30
atg000001l_rc_rotated	287	30
atg000001l_rc_rotated	288	30
atg000001l_rc_rotated	289	30
atg000001l_rc_rotated	290	30
atg000001l_rc_rotated	291	30
atg000001l_rc_rotated	292	30
atg000001l_rc_rotated	293	30
atg000001l_rc_rotated	294	30
atg000001l_rc_rotated	295	30
atg000001l_rc_rotated	296	30
atg000001l_rc_rotated	297	30
atg000001l_rc_rotated	298	30
atg000001l_rc_rotated	299	30
atg000001l_rc_rotated	300	30
atg000001l_rc_rotated	301	30
atg000001l_rc_rotated	302	30
atg000001l_rc_rotated	303	30
atg000001l_rc_rotated	304	30
atg000001l_rc_rotated	305	30
atg000001l_rc_rotated	306	30
atg000001l_rc_rotated	307	30
atg000001l_rc_rotated	308	30
atg000001l_rc_rotated	309	30
atg000001l_rc_rotated	310	30
atg000001l_rc_rotated	311	30
atg000001l_rc_rotated	312	30
atg000001l_rc_rotated	313	30
atg000001l_rc_rotated	314	30
atg000001l_rc_rotated	315	30
atg000001l_rc_rotated	316	30
atg000001l_rc_rotated	317	30
atg000001l_rc_rotated	318	30
atg000001l_rc_rotated	319	30
atg000001l_rc_rotated	320	30
atg000001l_rc_rotated	321	30
atg000001l_rc_rotated	322	30
atg000001l_rc_rotated	323	30
atg000001l_rc_rotated	324	30
atg000001l_rc_rotated	325	30
atg000001l_rc_rotated	326	30
atg000001l_rc_rotated	327	30
atg000001l_rc_rotated	328	30
atg000001l_rc_rotated	329	30
atg000001l_rc_rotated	330	30
atg000001l_rc_rotated	331	30
atg000001l_rc_rotated	332	30
atg000001l_rc_rotated	333	30
atg000001l_rc_rotated	334	30
atg000001l_rc_rotated	335	30
atg000001l_rc_rotated	336	30
atg000001l_rc_rotated	337	30
atg000001l_rc_rotated	338	30
atg000001l_rc_rotated	339	30
atg000001l_rc_rotated	340	30
atg000001l_rc_rotated	341	30
atg000001l_rc_rotated	342	30
atg000001l_rc_rotated	343	30
atg000001l_rc_rotated	344	30
atg000001l_rc_rotated	345	30
atg000001l_rc_rotated	346	30
atg000001l_rc_rotated	347	30
atg000001l_rc_rotated	348	30
atg000001l_rc_rotated	349	30
atg000001l_rc_rotated	350	30
atg000001l_rc_rotated	351	30
atg000001l_rc_rotated	352	30
atg000001l_rc_rotated	353	30
atg000001l_rc_rotated	354	30
atg000001l_rc_rotated	355	30
atg000001l_rc_rotated	356	30
atg000001l_rc_rotated	357	30
atg000001l_rc_rotated	358	30
atg000001l_rc_rotated	359	30
atg000001l_rc_rotated	360	30
atg000001l_rc_rotated	361	30
atg000001l_rc_rotated	362	30
atg000001l_rc_rotated	363	30
atg000001l_rc_rotated	364	30
atg000001l_rc_rotated	365	30
atg000001l_rc_rotated	366	30
atg000001l_rc_rotated	367	30
atg000001l_rc_rotated	368	30
atg000001l_rc_rotated	369	30
atg000001l_rc_rotated	370	30
atg000001l_rc_rotated	371	30
atg000001l_rc_rotated	372	30
atg000001l_rc_rotated	373	30
atg000001l_rc_rotated	374	30
atg000001l_rc_rotated	375	30
atg000001l_rc_rotated	376	30
atg000001l_rc_rotated	377	30
atg000001l_rc_rotated	378	30
atg000001l_rc_rotated	379	30
atg000001l_rc_rotated	380	30
atg000001l_rc_rotated	381	30
atg000001l_rc_rotated	382	30
atg000001l_rc_rotated	383	30
atg000001l_rc_rotated	384	30
atg000001l_rc_rotated	385	30
atg000001l_rc_rotated	386	30
atg000001l_rc_rotated	387	30
atg000001l_rc_rotated	388	30
atg000001l_rc_rotated	389	30
atg000001l_rc_rotated	390	30
atg000001l_rc_rotated	391	30
atg000001l_rc_rotated	392	30
atg000001l_rc_rotated	393	30
atg000001l_rc_rotated	394	30
atg000001l_rc_rotated	395	30
atg000001l_rc_rotated	396	30
atg000001l_rc_rotated	397	30
atg000001l_rc_rotated	398	30
atg000001l_rc_rotated	399	30
atg000001l_rc_rotated	400	30
atg000001l_rc_rotated	401	30
atg000001l_rc_rotated	402	30
atg000001l_rc_rotated	403	30
atg000001l_rc_rotated	404	30
atg000001l_rc_rotated	405	30
atg000001l_rc_rotated	406	30
atg000001l_rc_rotated	407	30
atg000001l_rc_rotated	408	30
atg000001l_rc_rotated	409	30
atg000001l_rc_rotated	410	30
atg000001l_rc_rotated	411	30
atg000001l_rc_rotated	412	30
atg000001l_rc_rotated	413	30
atg000001l_rc_rotated	414	30
atg000001l_rc_rotated	415	30
atg000001l_rc_rotated	416	30
atg000001l_rc_rotated	417	30
atg000001l_rc_rotated	418	30
atg000001l_rc_rotated	419	30
atg000001l_rc_rotated	420	30
atg000001l_rc_rotated	421	30
atg000001l_rc_rotated	422	30
atg000001l_rc_rotated	423	30
atg000001l_rc_rotated	424	30
atg000001l_rc_rotated	425	30
atg000001l_rc_rotated	426	30
atg000001l_rc_rotated	427	30
atg000001l_rc_rotated	428	30
atg000001l_rc_rotated	429	30
atg000001l_rc_rotated	430	30
atg000001l_rc_rotated	431	30
atg000001l_rc_rotated	432	30
atg000001l_rc_rotated	433	30
atg000001l_rc_rotated	434	30
atg000001l_rc_rotated	435	30
atg000001l_rc_rotated	436	30
atg000001l_rc_rotated	437	30
atg000001l_rc_rotated	438	30
atg000001l_rc_rotated	439	30
atg000001l_rc_rotated	440	30
atg000001l_rc_rotated	441	30
atg000001l_rc_rotated	442	30
atg000001l_rc_rotated	443	30
atg000001l_rc_rotated	444	30
atg000001l_rc_rotated	445	30
atg000001l_rc_rotated	446	30
atg000001l_rc_rotated	447	30
atg000001l_rc_rotated	448	30
atg000001l_rc_rotated	449	30
atg000001l_rc_rotated	450	30
atg000001l_rc_rotated	451	30
atg000001l_rc_rotated	452	30
atg000001l_rc_rotated	453	30
atg000001l_rc_rotated	454	30
atg000001l_rc_rotated	455	30
atg000001l_rc_rotated	456	30
atg000001l_rc_rotated	457	30
atg000001l_rc_rotated	458	30
atg000001l_rc_rotated	459	30
atg000001l_rc_rotated	460	30
atg000001l_rc_rotated	461	30
atg000001l_rc_rotated	462	30
atg000001l_rc_rotated	463	30
atg000001l_rc_rotated	464	30
atg000001l_rc_rotated	465	30
atg000001l_rc_rotated	466	30
atg000001l_rc_rotated	467	30
atg000001l_rc_rotated	468	30
atg000001l_rc_rotated	469	30
atg000001l_rc_rotated	470	30
atg000001l_rc_rotated	471	30
atg000001l_rc_rotated	472	30
atg000001l_rc_rotated	473	30
atg000001l_rc_rotated	474	30
atg000001l_rc_rotated	475	30
atg000001l_rc_rotated	476	30
atg000001l_rc_rotated	477	30
atg000001l_rc_rotated	478	30
atg000001l_rc_rotated	479	30
atg000001l_rc_rotated	480	30
atg000001l_rc_rotated	481	30
atg000001l_rc_rotated	482	30
atg000001l_rc_rotated	483	30
atg000001l_rc_rotated	484	30
atg000001l_rc_rotated	485	30
atg000001l_rc_rotated	486	30
atg000001l_rc_rotated	487	30
atg000001l_rc_rotated	488	30
atg000001l_rc_rotated	489	30
atg000001l_rc_rotated	490	30
atg000001l_rc_rotated	491	30
atg000001l_rc_rotated	492	30
atg000001l_rc_rotated	493	30
atg000001l_rc_rotated	494	30
atg000001l_rc_rotated	495	30
atg000001l_rc_rotated	496	30
atg000001l_rc_rotated	497	30
atg000001l_rc_rotated	498	30
atg000001l_rc_rotated	499	30
atg000001l_rc_rotated	500	30
atg000001l_rc_rotated	501	30
atg000001l_rc_rotated	502	30
atg000001l_rc_rotated	503	30
atg000001l_rc_rotated	504	30
atg000001l_rc_rotated	505	30
atg000001l_rc_rotated	506	30
atg000001l_rc_rotated	507	30
atg000001l_rc_rotated	508	30
atg000001l_rc_rotated	509	30
atg000001l_rc_rotated	510	30
atg000001l_rc_rotated	511	30
atg000001l_rc_rotated	512	30
atg000001l_rc_rotated	513	30
atg000001l_rc_rotated	514	30
atg000001l_rc_rotated	515	30
atg000001l_rc_rotated	516	30
atg000001l_rc_rotated	517	30
atg000001l_rc_rotated	518	30
atg000001l_rc_rotated	519	30
atg000001l_rc_rotated	520	30
atg000001l_rc_rotated	521	30
atg000001l_rc_rotated	522	30
atg000001l_rc_rotated	523	30
atg000001l_rc_rotated	524	30
atg000001l_rc_rotated	525	30
atg000001l_rc_rotated	526	30
atg000001l_rc_rotated	527	30
atg000001l_rc_rotated	528	30
atg000001l_rc_rotated	529	30
atg000001l_rc_rotated	530	30
atg000001l_rc_rotated	531	30
atg000001l_rc_rotated	532	30
atg000001l_rc_rotated	533	30
atg000001l_rc_rotated	534	30
atg000001l_rc_rotated	535	30
atg000001l_rc_rotated	536	30
atg000001l_rc_rotated	537	30
atg000001l_rc_rotated	538	30
atg000001l_rc_rotated	539	30
atg000001l_rc_rotated	540	30
atg000001l_rc_rotated	541	30
atg000001l_rc_rotated	542	30
atg000001l_rc_rotated	543	30
atg000001l_rc_rotated	544	30
atg000001l_rc_rotated	545	30
atg000001l_rc_rotated	546	30
atg000001l_rc_rotated	547	30
atg000001l_rc_rotated	548	30
atg000001l_rc_rotated	549	30
atg000001l_rc_rotated	550	30
atg000001l_rc_rotated	551	30
atg000001l_rc_rotated	552	30
atg000001l_rc_rotated	553	30
atg000001l_rc_rotated	554	30
atg000001l_rc_rotated	555	30
atg000001l_rc_rotated	556	30
atg000001l_rc_rotated	557	30
atg000001l_rc_rotated	558	30
atg000001l_rc_rotated	559	30
atg000001l_rc_rotated	560	30
atg000001l_rc_rotated	561	30
atg000001l_rc_rotated	562	30
atg000001l_rc_rotated	563	30
atg000001l_rc_rotated	564	30
atg000001l_rc_rotated	565	30
atg000001l_rc_rotated	566	30
atg000001l_rc_rotated	567	30
atg000001l_rc_rotated	568	30
atg000001l_rc_rotated	569	30
atg000001l_rc_rotated	570	30
atg000001l_rc_rotated	571	30
atg000001l_rc_rotated	572	30
atg000001l_rc_rotated	573	30
atg000001l_rc_rotated	574	30
atg000001l_rc_rotated	575	30
atg000001l_rc_rotated	576	30
atg000001l_rc_rotated	577	30
atg000001l_rc_rotated	578	30
atg000001l_rc_rotated	579	30
atg000001l_rc_rotated	580	30
atg000001l_rc_rotated	581	30
atg000001l_rc_rotated	582	30
atg000001l_rc_rotated	583	30
atg000001l_rc_rotated	584	30
atg000001l_rc_rotated	585	30
atg000001l_rc_rotated	586	30
atg000001l_rc_rotated	587	30
atg000001l_rc_rotated	588	30
atg000001l_rc_rotated	589	30
atg000001l_rc_rotated	590	30
atg000001l_rc_rotated	591	30
atg000001l_rc_rotated	592	30
atg000001l_rc_rotated	593	30
atg000001l_rc_rotated	594	30
atg000001l_rc_rotated	595	30
atg000001l_rc_rotated	596	30
atg000001l_rc_rotated	597	30
atg000001l_rc_rotated	598	30
atg000001l_rc_rotated	599	30
atg000001l_rc_rotated	600	30
atg000001l_rc_rotated	601	30
atg000001l_rc_rotated	602	30
atg000001l_rc_rotated	603	30
atg000001l_rc_rotated	604	30
atg000001l_rc_rotated	605	30
atg000001l_rc_rotated	606	30
atg000001l_rc_rotated	607	30
atg000001l_rc_rotated	608	30
atg000001l_rc_rotated	609	30
atg000001l_rc_rotated	610	30
atg000001l_rc_rotated	611	30
atg000001l_rc_rotated	612	30
atg000001l_rc_rotated	613	30
atg000001l_rc_rotated	614	30
atg000001l_rc_rotated	615	30
atg000001l_rc_rotated	616	30
atg000001l_rc_rotated	617	30
atg000001l_rc_rotated	618	30
atg000001l_rc_rotated	619	30
atg000001l_rc_rotated	620	30
atg000001l_rc_rotated	621	30
atg000001l_rc_rotated	622	30
atg000001l_rc_rotated	623	30
atg000001l_rc_rotated	624	30
atg000001l_rc_rotated	625	30
atg000001l_rc_rotated	626	30
atg000001l_rc_rotated	627	30
atg000001l_rc_rotated	628	30
atg000001l_rc_rotated	629	30
atg000001l_rc_rotated	630	30
atg000001l_rc_rotated	631	30
atg000001l_rc_rotated	632	30
atg000001l_rc_rotated	633	30
atg000001l_rc_rotated	634	30
atg000001l_rc_rotated	635	30
atg000001l_rc_rotated	636	30
atg000001l_rc_rotated	637	30
atg000001l_rc_rotated	638	30
atg000001l_rc_rotated	639	30
atg000001l_rc_rotated	640	30
atg000001l_rc_rotated	641	30
atg000001l_rc_rotated	642	30
atg000001l_rc_rotated	643	30
atg000001l_rc_rotated	644	30
atg000001l_rc_rotated	645	30
atg000001l_rc_rotated	646	30
atg000001l_rc_rotated	647	30
atg000001l_rc_rotated	648	30
atg000001l_rc_rotated	649	30
atg000001l_rc_rotated	650	30
atg000001l_rc_rotated	651	30
atg000001l_rc_rotated	652	30
atg000001l_rc_rotated	653	30
atg000001l_rc_rotated	654	30
atg000001l_rc_rotated	655	30
atg000001l_rc_rotated	656	30
atg000001l_rc_rotated	657	30
atg000001l_rc_rotated	658	30
atg000001l_rc_rotated	659	30
atg000001l_rc_rotated	660	30
atg000001l_rc_rotated	661	30
atg000001l_rc_rotated	662	30
atg000001l_rc_rotated	663	30
atg000001l_rc_rotated	664	30
atg000001l_rc_rotated	665	30
atg000001l_rc_rotated	666	30
atg000001l_rc_rotated	667	30
atg000001l_rc_rotated	668	30
atg000001l_rc_rotated	669	30
atg000001l_rc_rotated	670	30
atg000001l_rc_rotated	671	30
atg000001l_rc_rotated	672	30
atg000001l_rc_rotated	673	30
atg000001l_rc_rotated	674	30
atg000001l_rc_rotated	675	30
atg000001l_rc_rotated	676	30
atg000001l_rc_rotated	677	30
atg000001l_rc_rotated	678	30
atg000001l_rc_rotated	679	30
atg000001l_rc_rotated	680	30
atg000001l_rc_rotated	681	30
atg000001l_rc_rotated	682	30
atg000001l_rc_rotated	683	30
atg000001l_rc_rotated	684	30
atg000001l_rc_rotated	685	30
atg000001l_rc_rotated	686	30
atg000001l_rc_rotated	687	30
atg000001l_rc_rotated	688	30
atg000001l_rc_rotated	689	30
atg000001l_rc_rotated	690	30
atg000001l_rc_rotated	691	30
atg000001l_rc_rotated	692	30
atg000001l_rc_rotated	693	30
atg000001l_rc_rotated	694	30
atg000001l_rc_rotated	695	30
atg000001l_rc_rotated	696	30
atg000001l_rc_rotated	697	30
atg000001l_rc_rotated	698	30
atg000001l_rc_rotated	699	30
atg000001l_rc_rotated	700	30
atg000001l_rc_rotated	701	30
atg000001l_rc_rotated	702	30
atg000001l_rc_rotated	703	30
atg000001l_rc_rotated	704	30
atg000001l_rc_rotated	705	30
atg000001l_rc_rotated	706	30
atg000001l_rc_rotated	707	30
atg000001l_rc_rotated	708	30
atg000001l_rc_rotated	709	30
atg000001l_rc_rotated	710	30
atg000001l_rc_rotated	711	30
atg000001l_rc_rotated	712	30
atg000001l_rc_rotated	713	30
atg000001l_rc_rotated	714	30
atg000001l_rc_rotated	715	30
atg000001l_rc_rotated	716	30
atg000001l_rc_rotated	717	30
atg000001l_rc_rotated	718	30
atg000001l_rc_rotated	719	30
atg000001l_rc_rotated	720	30
atg000001l_rc_rotated	721	30
atg000001l_rc_rotated	722	30
atg000001l_rc_rotated	723	30
atg000001l_rc_rotated	724	30
atg000001l_rc_rotated	725	30
atg000001l_rc_rotated	726	30
atg000001l_rc_rotated	727	30
atg000001l_rc_rotated	728	30
atg000001l_rc_rotated	729	30
atg000001l_rc_rotated	730	30
atg000001l_rc_rotated	731	30
atg000001l_rc_rotated	732	30
atg000001l_rc_rotated	733	30
atg000001l_rc_rotated	734	30
atg000001l_rc_rotated	735	30
atg000001l_rc_rotated	736	30
atg000001l_rc_rotated	737	30
atg000001l_rc_rotated	738	30
atg000001l_rc_rotated	739	30
atg000001l_rc_rotated	740	30
atg000001l_rc_rotated	741	30
atg000001l_rc_rotated	742	30
atg000001l_rc_rotated	743	30
atg000001l_rc_rotated	744	30
atg000001l_rc_rotated	745	30
atg000001l_rc_rotated	746	30
atg000001l_rc_rotated	747	30
atg000001l_rc_rotated	748	30
atg000001l_rc_rotated	749	30
atg000001l_rc_rotated	750	30
atg000001l_rc_rotated	751	30
atg000001l_rc_rotated	752	30
atg000001l_rc_rotated	753	30
atg000001l_rc_rotated	754	30
atg000001l_rc_rotated	755	30
atg000001l_rc_rotated	756	30
atg000001l_rc_rotated	757	30
atg000001l_rc_rotated	758	30
atg000001l_rc_rotated	759	30
atg000001l_rc_rotated	760	30
atg000001l_rc_rotated	761	30
atg000001l_rc_rotated	762	30
atg000001l_rc_rotated	763	30
atg000001l_rc_rotated	764	30
atg000001l_rc_rotated	765	30
atg000001l_rc_rotated	766	30
atg000001l_rc_rotated	767	30
atg000001l_rc_rotated	768	30
atg000001l_rc_rotated	769	30
atg000001l_rc_rotated	770	30
atg000001l_rc_rotated	771	30
atg000001l_rc_rotated	772	30
atg000001l_rc_rotated	773	30
atg000001l_rc_rotated	774	30
atg000001l_rc_rotated	775	30
atg000001l_rc_rotated	776	30
atg000001l_rc_rotated	777	30
atg000001l_rc_rotated	778	30
atg000001l_rc_rotated	779	30
atg000001l_rc_rotated	780	30
atg000001l_rc_rotated	781	30
atg000001l_rc_rotated	782	30
atg000001l_rc_rotated	783	30
atg000001l_rc_rotated	784	30
atg000001l_rc_rotated	785	30
atg000001l_rc_rotated	786	30
atg000001l_rc_rotated	787	30
atg000001l_rc_rotated	788	30
atg000001l_rc_rotated	789	30
atg000001l_rc_rotated	790	30
atg000001l_rc_rotated	791	30
atg000001l_rc_rotated	792	30
atg000001l_rc_rotated	793	30
atg000001l_rc_rotated	794	30
atg000001l_rc_rotated	795	30
atg000001l_rc_rotated	796	30
atg000001l_rc_rotated	797	30
atg000001l_rc_rotated	798	30
atg000001l_rc_rotated	799	30
atg000001l_rc_rotated	800	30
atg000001l_rc_rotated	801	30
atg000001l_rc_rotated	802	30
atg000001l_rc_rotated	803	30
atg000001l_rc_rotated	804	30
atg000001l_rc_rotated	805	30
atg000001l_rc_rotated	806	30
atg000001l_rc_rotated	807	30
atg000001l_rc_rotated	808	30
atg000001l_rc_rotated	809	30
atg000001l_rc_rotated	810	30
atg000001l_rc_rotated	811	30
atg000001l_rc_rotated	812	30
atg000001l_rc_rotated	813	30
atg000001l_rc_rotated	814	30
atg000001l_rc_rotated	815	30
atg000001l_rc_rotated	816	30
atg000001l_rc_rotated	817	30
atg000001l_rc_rotated	818	30
atg000001l_rc_rotated	819	30
atg000001l_rc_rotated	820	30
atg000001l_rc_rotated	821	30
atg000001l_rc_rotated	822	30
